,Country,ESTJ,ESTP,ESFJ,ESFP,ENTJ,ENTP,ENFJ,ENFP,ISTJ,ISTP,ISFJ,ISFP,INTJ,INTP,INFJ,INFP,I,E,N,S,F,T,P,J
0,Afghanistan,0.11879999999999999,0.06520000000000001,0.1006,0.0527,0.0511,0.0495,0.0561999999999999,0.0796,0.0629,0.043399999999999994,0.061,0.046,0.0431,0.054900000000000004,0.0463,0.0686,0.4262,0.5737,0.44929999999999987,0.5506000000000001,0.5109999999999999,0.4889,0.4599,0.5399999999999999
1,Albania,0.0666999999999999,0.0380999999999999,0.0665,0.0404999999999999,0.0686,0.07919999999999999,0.0775,0.1045,0.041800000000000004,0.0233,0.044899999999999995,0.0334,0.0604,0.0754,0.0747999999999999,0.1045,0.4584999999999999,0.5415999999999996,0.6448999999999999,0.35519999999999974,0.5465999999999998,0.4534999999999998,0.4988999999999998,0.5011999999999998
2,Algeria,0.0327,0.0241,0.044,0.0279,0.05349999999999999,0.0739,0.0556,0.0857,0.032,0.033,0.0337,0.0377,0.0896,0.141,0.08,0.1555999999999999,0.6025999999999999,0.3973999999999999,0.7348999999999999,0.2651,0.5201999999999999,0.47979999999999995,0.5789,0.4211
3,Andorra,0.0605,0.0186999999999998,0.06509999999999999,0.0372,0.0465,0.0372,0.1163,0.1767,0.027899999999999998,0.0186,0.0465,0.04189999999999999,0.0325999999999999,0.0512,0.0791,0.16739999999999988,0.4651999999999998,0.5581999999999998,0.7069999999999997,0.3163999999999998,0.7301999999999997,0.2931999999999997,0.5488999999999997,0.4744999999999999
4,Angola,0.0592,0.0368,0.1192,0.0547,0.0492,0.0448,0.0807,0.07980000000000001,0.040400000000000005,0.0322,0.0717,0.0403,0.0466,0.0564,0.0771,0.1112,0.4759,0.5244,0.5458,0.4545,0.6346999999999999,0.36560000000000004,0.45620000000000005,0.5441
5,Antigua and Barbuda,0.0421,0.0245,0.094,0.0548,0.0279,0.047,0.06319999999999999,0.1091999999999999,0.0430999999999999,0.0308,0.0852999999999999,0.0591999999999999,0.0327999999999999,0.0632,0.08479999999999979,0.1380999999999999,0.5372999999999992,0.4626999999999999,0.5661999999999995,0.43379999999999974,0.6885999999999993,0.3113999999999998,0.5267999999999997,0.4731999999999994
6,Argentina,0.0245,0.017399999999999898,0.0476,0.0366,0.0309,0.0543999999999999,0.0625,0.1338,0.0342,0.025500000000000002,0.044,0.0416,0.0652,0.1059999999999999,0.0884,0.1875,0.5923999999999999,0.40769999999999984,0.7286999999999998,0.2713999999999999,0.6419999999999999,0.35809999999999975,0.6027999999999997,0.3973
7,Armenia,0.0739999999999999,0.0269999999999999,0.0628999999999999,0.0262,0.0689,0.0821,0.07919999999999999,0.1057,0.0399,0.0197,0.0472,0.026799999999999997,0.0689999999999999,0.0839,0.0734999999999999,0.1138,0.4737999999999998,0.5259999999999998,0.6760999999999997,0.3236999999999997,0.5352999999999999,0.4644999999999997,0.4851999999999999,0.5145999999999995
8,Australia,0.0354999999999999,0.0212,0.1038,0.0587,0.0215,0.039099999999999996,0.07780000000000001,0.1482999999999999,0.030399999999999802,0.0202,0.0825999999999999,0.0583,0.0272999999999999,0.047799999999999995,0.0772,0.15,0.49379999999999963,0.5058999999999998,0.5889999999999997,0.41069999999999957,0.7566999999999998,0.24299999999999958,0.5435999999999999,0.4560999999999995
9,Austria,0.038400000000000004,0.022600000000000002,0.0553,0.036699999999999997,0.0347,0.0656999999999999,0.0664,0.1436999999999999,0.0333999999999999,0.0221,0.046,0.0377999999999999,0.0525,0.0906,0.0809,0.1732,0.5364999999999998,0.46349999999999986,0.7076999999999998,0.29229999999999984,0.6399999999999998,0.3599999999999998,0.5923999999999996,0.4075999999999999
