mbti,variable,Value
ENFJ,danceability_mean,-0.08996296035384307
ENFP,danceability_mean,0.2930731829490074
ENTJ,danceability_mean,0.4870663651731638
ENTP,danceability_mean,0.4853858743892368
ESFJ,danceability_mean,0.035509317273778734
ESFP,danceability_mean,0.570675786165214
ESTJ,danceability_mean,0.43840332998916187
ESTP,danceability_mean,0.5440051899807239
INFJ,danceability_mean,-0.5541711119638235
INFP,danceability_mean,-0.3422676504386824
INTJ,danceability_mean,-0.3717299993430886
INTP,danceability_mean,-0.30008542018652
ISFJ,danceability_mean,-0.4507113269808271
ISFP,danceability_mean,-0.24637711926265432
ISTJ,danceability_mean,-0.4270157704299715
ISTP,danceability_mean,0.07301684563057005
ENFJ,energy_mean,-0.1874930252137276
ENFP,energy_mean,0.2646822172972451
ENTJ,energy_mean,0.3695548494130478
ENTP,energy_mean,0.46520735799951296
ESFJ,energy_mean,-0.055437793312297874
ESFP,energy_mean,0.4974593679568298
ESTJ,energy_mean,0.21234049235661226
ESTP,energy_mean,0.6077023117521437
INFJ,energy_mean,-0.6065611461225479
INFP,energy_mean,-0.5406439315726835
INTJ,energy_mean,-0.03186442446000721
INTP,energy_mean,-0.026256916940491926
ISFJ,energy_mean,-0.793613063847854
ISFP,energy_mean,-0.1434902678042705
ISTJ,energy_mean,-0.4084248330638819
ISTP,energy_mean,0.22253670566374145
ENFJ,loudness_mean,-0.10308039114405615
ENFP,loudness_mean,0.21871392154589775
ENTJ,loudness_mean,0.37020069584305154
ENTP,loudness_mean,0.36829818271465287
ESFJ,loudness_mean,0.11223494226412625
ESFP,loudness_mean,0.42280451096395766
ESTJ,loudness_mean,0.2570573397493618
ESTP,loudness_mean,0.4425797498469324
INFJ,loudness_mean,-0.426525409270651
INFP,loudness_mean,-0.3736318663349317
INTJ,loudness_mean,-0.11202030949188317
INTP,loudness_mean,-0.25524375218524137
ISFJ,loudness_mean,-0.5690249588870072
ISFP,loudness_mean,-0.01666235608431452
ISTJ,loudness_mean,-0.44711337547979807
ISTP,loudness_mean,0.11891687038279726
ENFJ,mode_mean,0.43681908845591494
ENFP,mode_mean,0.26287818260015916
ENTJ,mode_mean,-0.7744849948981877
ENTP,mode_mean,-0.5402290149304648
ESFJ,mode_mean,0.39344783830026336
ESFP,mode_mean,-0.047027466946336256
ESTJ,mode_mean,-0.4784509726413952
ESTP,mode_mean,-0.34556844776147544
INFJ,mode_mean,0.23961612089456497
INFP,mode_mean,0.35269647601034204
INTJ,mode_mean,-0.43806251201567636
INTP,mode_mean,0.030725083906723696
ISFJ,mode_mean,0.8743128589442701
ISFP,mode_mean,0.20399447002952392
ISTJ,mode_mean,0.2889518821985948
ISTP,mode_mean,-0.14494637005607458
ENFJ,speechiness_mean,-0.21874087560512406
ENFP,speechiness_mean,-0.16219612452293813
ENTJ,speechiness_mean,0.6041100774771582
ENTP,speechiness_mean,0.43464643805637143
ESFJ,speechiness_mean,-0.1913212695694527
ESFP,speechiness_mean,0.12073403038630184
ESTJ,speechiness_mean,0.450386180304493
ESTP,speechiness_mean,0.7197848681872256
INFJ,speechiness_mean,-0.5048370052457143
INFP,speechiness_mean,-0.28174913674551
INTJ,speechiness_mean,-0.013945525790934402
INTP,speechiness_mean,-0.12372934306240044
ISFJ,speechiness_mean,-0.5070480527329236
ISFP,speechiness_mean,-0.2950302002978177
ISTJ,speechiness_mean,-0.37644549603337685
ISTP,speechiness_mean,0.24364229904047832
ENFJ,acousticness_mean,0.17382837727162267
ENFP,acousticness_mean,-0.13149108426568856
ENTJ,acousticness_mean,-0.4716429904459812
ENTP,acousticness_mean,-0.5894698257914349
ESFJ,acousticness_mean,0.12207073238252124
ESFP,acousticness_mean,-0.4236401492768413
ESTJ,acousticness_mean,-0.2587964409592968
ESTP,acousticness_mean,-0.5940398785242819
INFJ,acousticness_mean,0.6495167956869076
INFP,acousticness_mean,0.6225742339204762
INTJ,acousticness_mean,-0.0636742585375179
INTP,acousticness_mean,-0.021174870250996645
ISFJ,acousticness_mean,0.9350207893391641
ISFP,acousticness_mean,0.1883948650087363
ISTJ,acousticness_mean,0.39737329083166384
ISTP,acousticness_mean,-0.31498817790719785
ENFJ,liveness_mean,-0.2890095817134879
ENFP,liveness_mean,0.12736485546638582
ENTJ,liveness_mean,0.21136246489104354
ENTP,liveness_mean,0.4163655879587731
ESFJ,liveness_mean,-0.08349134022728251
ESFP,liveness_mean,0.26204629868192436
ESTJ,liveness_mean,-0.028045976087001597
ESTP,liveness_mean,0.47228773339143887
INFJ,liveness_mean,-0.4154452699781484
INFP,liveness_mean,-0.4240072279032934
INTJ,liveness_mean,-0.09066927050223811
INTP,liveness_mean,-0.02419717231382838
ISFJ,liveness_mean,-0.416416757415071
ISFP,liveness_mean,-0.08764969327236424
ISTJ,liveness_mean,-0.25706300305535834
ISTP,liveness_mean,0.41773360712095003
ENFJ,valence_mean,0.015683870124769985
ENFP,valence_mean,0.5348065608011057
ENTJ,valence_mean,0.19103825204958427
ENTP,valence_mean,0.5410308302144065
ESFJ,valence_mean,0.24039092577117965
ESFP,valence_mean,0.7839506452124768
ESTJ,valence_mean,0.29538308179771994
ESTP,valence_mean,0.5455149640191784
INFJ,valence_mean,-0.6244515067075531
INFP,valence_mean,-0.4868921427663936
INTJ,valence_mean,-0.48304560019026943
INTP,valence_mean,-0.2713666126809484
ISFJ,valence_mean,-0.5254975380947149
ISFP,valence_mean,-0.2161689006194319
ISTJ,valence_mean,-0.3346904547784518
ISTP,valence_mean,0.05125188615717732
ENFJ,tempo_mean,-0.02917718531151238
ENFP,tempo_mean,0.09893609310369036
ENTJ,tempo_mean,0.08975275556497964
ENTP,tempo_mean,0.15004054694845026
ESFJ,tempo_mean,-0.1233810944514477
ESFP,tempo_mean,0.14992726853088884
ESTJ,tempo_mean,-0.007501127197346718
ESTP,tempo_mean,0.3473102441886408
INFJ,tempo_mean,-0.4050949287762095
INFP,tempo_mean,-0.20930466752905996
INTJ,tempo_mean,0.05813752027805266
INTP,tempo_mean,0.10923355854591563
ISFJ,tempo_mean,-0.12580297796617124
ISFP,tempo_mean,-0.09590909392981412
ISTJ,tempo_mean,-0.08804247794503016
ISTP,tempo_mean,-0.029373144323507436
ENFJ,instrumentalness_mean,-0.14588495938554236
ENFP,instrumentalness_mean,-0.18142261378282384
ENTJ,instrumentalness_mean,-0.21677867501221582
ENTP,instrumentalness_mean,-0.084520864659034
ESFJ,instrumentalness_mean,-0.2852389424464055
ESFP,instrumentalness_mean,-0.3067196499230696
ESTJ,instrumentalness_mean,-0.03420570778678697
ESTP,instrumentalness_mean,-0.2168768091704305
INFJ,instrumentalness_mean,0.1355909237864028
INFP,instrumentalness_mean,0.0936995310247913
INTJ,instrumentalness_mean,0.3891758042188977
INTP,instrumentalness_mean,0.5259634017536543
ISFJ,instrumentalness_mean,0.003598112182986786
ISFP,instrumentalness_mean,-0.1996369927370886
ISTJ,instrumentalness_mean,0.2537146998129444
ISTP,instrumentalness_mean,0.08195286892580066
